name_category,shortname_category,sum,avg,time_bin
alternative lifestyle,lifestyle,8.0,8.0,2006-01-01 00:00:00
alternative lifestyle,lifestyle,39.0,19.5,2007-01-01 00:00:00
alternative lifestyle,lifestyle,154.0,51.333333333333336,2008-01-01 00:00:00
alternative lifestyle,lifestyle,130.0,32.5,2009-01-01 00:00:00
alternative lifestyle,lifestyle,139.0,46.333333333333336,2010-01-01 00:00:00
alternative lifestyle,lifestyle,343.0,68.6,2011-01-01 00:00:00
alternative lifestyle,lifestyle,416.0,83.2,2012-01-01 00:00:00
alternative lifestyle,lifestyle,969.0,107.66666666666667,2013-01-01 00:00:00
alternative lifestyle,lifestyle,975.0,88.63636363636364,2014-01-01 00:00:00
career/business,career-business,92.0,13.142857142857142,2004-01-01 00:00:00
career/business,career-business,638.0,49.07692307692308,2005-01-01 00:00:00
career/business,career-business,1688.0,56.266666666666666,2006-01-01 00:00:00
career/business,career-business,3963.0,69.52631578947368,2007-01-01 00:00:00
career/business,career-business,8904.0,98.93333333333334,2008-01-01 00:00:00
career/business,career-business,14083.0,99.87943262411348,2009-01-01 00:00:00
career/business,career-business,28359.0,146.18041237113403,2010-01-01 00:00:00
career/business,career-business,33483.0,119.15658362989323,2011-01-01 00:00:00
career/business,career-business,46688.0,113.87317073170732,2012-01-01 00:00:00
career/business,career-business,83660.0,133.42902711323765,2013-01-01 00:00:00
career/business,career-business,78422.0,101.58290155440415,2014-01-01 00:00:00
cars/motorcycles,cars-motorcycles,51.0,25.5,2006-01-01 00:00:00
cars/motorcycles,cars-motorcycles,194.0,64.66666666666667,2007-01-01 00:00:00
cars/motorcycles,cars-motorcycles,907.0,151.16666666666666,2008-01-01 00:00:00
cars/motorcycles,cars-motorcycles,2100.0,262.5,2009-01-01 00:00:00
cars/motorcycles,cars-motorcycles,2607.0,325.875,2010-01-01 00:00:00
cars/motorcycles,cars-motorcycles,2224.0,148.26666666666668,2011-01-01 00:00:00
cars/motorcycles,cars-motorcycles,4014.0,223.0,2012-01-01 00:00:00
cars/motorcycles,cars-motorcycles,4561.0,152.03333333333333,2013-01-01 00:00:00
cars/motorcycles,cars-motorcycles,3380.0,102.42424242424242,2014-01-01 00:00:00
community/environment,community-environment,6.0,1.5,2004-01-01 00:00:00
community/environment,community-environment,144.0,28.8,2005-01-01 00:00:00
community/environment,community-environment,459.0,76.5,2006-01-01 00:00:00
community/environment,community-environment,932.0,103.55555555555556,2007-01-01 00:00:00
community/environment,community-environment,1494.0,83.0,2008-01-01 00:00:00
community/environment,community-environment,2903.0,126.21739130434783,2009-01-01 00:00:00
community/environment,community-environment,5004.0,156.375,2010-01-01 00:00:00
community/environment,community-environment,6414.0,149.1627906976744,2011-01-01 00:00:00
community/environment,community-environment,10266.0,146.65714285714284,2012-01-01 00:00:00
community/environment,community-environment,21412.0,214.12,2013-01-01 00:00:00
community/environment,community-environment,16034.0,123.33846153846154,2014-01-01 00:00:00
dancing,dancing,3.0,1.0,2004-01-01 00:00:00
dancing,dancing,98.0,19.6,2005-01-01 00:00:00
dancing,dancing,1161.0,116.1,2006-01-01 00:00:00
dancing,dancing,1748.0,97.11111111111111,2007-01-01 00:00:00
dancing,dancing,3277.0,105.70967741935483,2008-01-01 00:00:00
dancing,dancing,4290.0,112.89473684210526,2009-01-01 00:00:00
dancing,dancing,8355.0,157.64150943396226,2010-01-01 00:00:00
dancing,dancing,13291.0,207.671875,2011-01-01 00:00:00
dancing,dancing,18779.0,234.7375,2012-01-01 00:00:00
dancing,dancing,22251.0,193.48695652173913,2013-01-01 00:00:00
dancing,dancing,20001.0,133.34,2014-01-01 00:00:00
education/learning,education-learning,14.0,14.0,2004-01-01 00:00:00
education/learning,education-learning,77.0,38.5,2005-01-01 00:00:00
education/learning,education-learning,120.0,40.0,2006-01-01 00:00:00
education/learning,education-learning,399.0,39.9,2007-01-01 00:00:00
education/learning,education-learning,702.0,46.8,2008-01-01 00:00:00
education/learning,education-learning,1374.0,59.73913043478261,2009-01-01 00:00:00
education/learning,education-learning,1575.0,58.333333333333336,2010-01-01 00:00:00
education/learning,education-learning,2697.0,65.78048780487805,2011-01-01 00:00:00
education/learning,education-learning,5596.0,91.73770491803279,2012-01-01 00:00:00
education/learning,education-learning,16510.0,166.76767676767676,2013-01-01 00:00:00
education/learning,education-learning,12508.0,91.2992700729927,2014-01-01 00:00:00
fashion/beauty,fashion-beauty,161.0,80.5,2007-01-01 00:00:00
fashion/beauty,fashion-beauty,188.0,62.666666666666664,2008-01-01 00:00:00
fashion/beauty,fashion-beauty,684.0,114.0,2009-01-01 00:00:00
fashion/beauty,fashion-beauty,428.0,38.90909090909091,2010-01-01 00:00:00
fashion/beauty,fashion-beauty,1536.0,102.4,2011-01-01 00:00:00
fashion/beauty,fashion-beauty,3237.0,179.83333333333334,2012-01-01 00:00:00
fashion/beauty,fashion-beauty,4562.0,116.97435897435898,2013-01-01 00:00:00
fashion/beauty,fashion-beauty,5599.0,99.98214285714286,2014-01-01 00:00:00
fine arts/culture,arts-culture,11.0,11.0,2004-01-01 00:00:00
fine arts/culture,arts-culture,67.0,67.0,2005-01-01 00:00:00
fine arts/culture,arts-culture,204.0,102.0,2006-01-01 00:00:00
fine arts/culture,arts-culture,601.0,50.083333333333336,2007-01-01 00:00:00
fine arts/culture,arts-culture,1140.0,71.25,2008-01-01 00:00:00
fine arts/culture,arts-culture,2710.0,100.37037037037037,2009-01-01 00:00:00
fine arts/culture,arts-culture,4986.0,134.75675675675674,2010-01-01 00:00:00
fine arts/culture,arts-culture,7894.0,157.88,2011-01-01 00:00:00
fine arts/culture,arts-culture,13726.0,193.32394366197184,2012-01-01 00:00:00
fine arts/culture,arts-culture,22054.0,229.72916666666666,2013-01-01 00:00:00
fine arts/culture,arts-culture,20813.0,136.03267973856208,2014-01-01 00:00:00
fitness,fitness,94.0,23.5,2006-01-01 00:00:00
fitness,fitness,306.0,38.25,2007-01-01 00:00:00
fitness,fitness,1080.0,60.0,2008-01-01 00:00:00
fitness,fitness,5133.0,135.07894736842104,2009-01-01 00:00:00
fitness,fitness,12162.0,190.03125,2010-01-01 00:00:00
fitness,fitness,22621.0,269.29761904761904,2011-01-01 00:00:00
fitness,fitness,41358.0,356.5344827586207,2012-01-01 00:00:00
fitness,fitness,59786.0,351.6823529411765,2013-01-01 00:00:00
fitness,fitness,51100.0,178.0487804878049,2014-01-01 00:00:00
food/drink,food-drink,67.0,11.166666666666666,2004-01-01 00:00:00
