id_group,time_bin,sum
10001272,2013-01-01 00:00:00,2
10007032,2013-01-01 00:00:00,9
10007032,2014-01-01 00:00:00,26
10007272,2014-01-01 00:00:00,7
10008572,2013-01-01 00:00:00,73
10008572,2014-01-01 00:00:00,58
10010282,2013-01-01 00:00:00,20
10010442,2013-01-01 00:00:00,10
10010442,2014-01-01 00:00:00,2
10013282,2013-01-01 00:00:00,87
10013282,2014-01-01 00:00:00,300
10015542,2013-01-01 00:00:00,5
1001619,2008-01-01 00:00:00,32
1001619,2009-01-01 00:00:00,103
1001619,2010-01-01 00:00:00,150
1001619,2011-01-01 00:00:00,149
1001619,2012-01-01 00:00:00,99
1001619,2013-01-01 00:00:00,129
1001619,2014-01-01 00:00:00,50
10017082,2013-01-01 00:00:00,72
10017082,2014-01-01 00:00:00,218
10018032,2013-01-01 00:00:00,3
10021972,2013-01-01 00:00:00,21
10021972,2014-01-01 00:00:00,13
10024282,2013-01-01 00:00:00,8
10024282,2014-01-01 00:00:00,14
1002963,2008-01-01 00:00:00,18
1002963,2009-01-01 00:00:00,4
1002963,2012-01-01 00:00:00,2
1002963,2013-01-01 00:00:00,5
10030992,2013-01-01 00:00:00,7
10030992,2014-01-01 00:00:00,7
10031792,2013-01-01 00:00:00,69
10031792,2014-01-01 00:00:00,107
1003324,2008-01-01 00:00:00,27
1003324,2009-01-01 00:00:00,14
1003324,2011-01-01 00:00:00,38
10036672,2013-01-01 00:00:00,21
10036672,2014-01-01 00:00:00,74
10039672,2013-01-01 00:00:00,22
10041312,2013-01-01 00:00:00,70
10041312,2014-01-01 00:00:00,41
10041792,2013-01-01 00:00:00,18
10042072,2013-01-01 00:00:00,26
10042072,2014-01-01 00:00:00,36
10048222,2013-01-01 00:00:00,15
10048442,2013-01-01 00:00:00,190
10048442,2014-01-01 00:00:00,540
10048962,2013-01-01 00:00:00,245
10048962,2014-01-01 00:00:00,677
10049382,2013-01-01 00:00:00,56
10049382,2014-01-01 00:00:00,52
10052282,2013-01-01 00:00:00,4
10052282,2014-01-01 00:00:00,3
10052602,2013-01-01 00:00:00,8
1006981,2008-01-01 00:00:00,13
1006981,2009-01-01 00:00:00,9
1006981,2010-01-01 00:00:00,43
1006981,2011-01-01 00:00:00,172
1006981,2012-01-01 00:00:00,162
1006981,2013-01-01 00:00:00,150
1007027,2008-01-01 00:00:00,7
1007027,2011-01-01 00:00:00,1
1007027,2012-01-01 00:00:00,10
1007027,2013-01-01 00:00:00,4
1007027,2014-01-01 00:00:00,4
10071672,2013-01-01 00:00:00,33
10071672,2014-01-01 00:00:00,109
10072332,2014-01-01 00:00:00,33
10076522,2013-01-01 00:00:00,7
10076522,2014-01-01 00:00:00,11
10077992,2013-01-01 00:00:00,10
10077992,2014-01-01 00:00:00,2
10080752,2013-01-01 00:00:00,1
1008176,2008-01-01 00:00:00,25
1008176,2009-01-01 00:00:00,38
1008176,2010-01-01 00:00:00,40
1008176,2011-01-01 00:00:00,21
1008176,2012-01-01 00:00:00,22
1008176,2013-01-01 00:00:00,22
1008176,2014-01-01 00:00:00,18
10088572,2013-01-01 00:00:00,18
10088572,2014-01-01 00:00:00,3
10088652,2014-01-01 00:00:00,2
10090232,2013-01-01 00:00:00,48
10090232,2014-01-01 00:00:00,14
10090662,2013-01-01 00:00:00,19
10090662,2014-01-01 00:00:00,8
10092062,2013-01-01 00:00:00,16
10092062,2014-01-01 00:00:00,3
10093462,2013-01-01 00:00:00,5
10093912,2013-01-01 00:00:00,39
10093912,2014-01-01 00:00:00,75
10096672,2013-01-01 00:00:00,50
10096672,2014-01-01 00:00:00,117
1009747,2008-01-01 00:00:00,7
1009747,2009-01-01 00:00:00,1
1009747,2010-01-01 00:00:00,15
1009747,2013-01-01 00:00:00,8
1009873,2008-01-01 00:00:00,10
1009873,2009-01-01 00:00:00,5
1009873,2010-01-01 00:00:00,17
1009873,2011-01-01 00:00:00,8
1009873,2012-01-01 00:00:00,203
1009873,2013-01-01 00:00:00,739
1009873,2014-01-01 00:00:00,1206
1010044,2011-01-01 00:00:00,1
1010044,2013-01-01 00:00:00,9
1010044,2014-01-01 00:00:00,13
10101542,2013-01-01 00:00:00,13
10101542,2014-01-01 00:00:00,9
1010245,2008-01-01 00:00:00,36
1010245,2009-01-01 00:00:00,24
1010245,2010-01-01 00:00:00,10
1010245,2011-01-01 00:00:00,8
1010245,2012-01-01 00:00:00,14
1010245,2013-01-01 00:00:00,12
1010245,2014-01-01 00:00:00,14
10104072,2013-01-01 00:00:00,6
10104072,2014-01-01 00:00:00,21
10105282,2013-01-01 00:00:00,48
10105282,2014-01-01 00:00:00,96
10107482,2013-01-01 00:00:00,18
10109792,2013-01-01 00:00:00,220
10109792,2014-01-01 00:00:00,386
10116092,2013-01-01 00:00:00,8
10116092,2014-01-01 00:00:00,2
10120142,2013-01-01 00:00:00,3
10120142,2014-01-01 00:00:00,43
10122292,2013-01-01 00:00:00,6
10123012,2013-01-01 00:00:00,30
10123012,2014-01-01 00:00:00,19
10127332,2013-01-01 00:00:00,22
1013219,2008-01-01 00:00:00,91
1013219,2009-01-01 00:00:00,21
1013219,2010-01-01 00:00:00,32
1013219,2011-01-01 00:00:00,14
1013219,2012-01-01 00:00:00,7
1013219,2013-01-01 00:00:00,7
10132582,2013-01-01 00:00:00,12
